Title,Author,My Rating,Average Rating,Publisher,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Year Read,Month Read
The Woman in Me,Britney Spears,5,3.85,Gallery Books,288,2023,2023,02/12/2023,29/11/2023,2023,12
"Forever, Interrupted",Taylor Jenkins Reid,3,3.65,Simon & Schuster Ltd,328,2023,2013,29/11/2023,21/11/2023,2023,11
Time Is a Mother,Ocean Vuong,4,3.94,Penguin Press,114,2022,2022,21/11/2023,05/11/2023,2023,11
The Way Spring Arrives and Other Stories,Yu Chen,3,3.85,Tordotcom,385,2022,2022,25/10/2023,23/08/2023,2023,10
Yellowface,R.F. Kuang,4,3.76,The Borough Press,329,2023,2023,25/10/2023,17/10/2023,2023,10
Five Flying Penguins,Barbara Barbieri McGrath,4,3.66,Charlesbridge,32,2018,2018,07/09/2023,07/09/2023,2023,9
"Peace, Baby!",Linda Ashman,4,3.59,Chronicle Books,32,2013,2013,01/09/2023,23/08/2023,2023,9
The Seven Moons of Maali Almeida,Shehan Karunatilaka,5,3.92,Sort of Books,386,2022,2022,11/08/2023,17/10/2022,2023,8
A Very Typical Family,Sierra Godfrey,3,3.47,Sourcebooks Landmark,416,2023,2022,06/08/2023,27/07/2023,2023,8
All The Lovers In The Night,Mieko Kawakami,4,3.71,Picador,219,2022,2011,26/07/2023,18/04/2022,2023,7
I'm Glad My Mom Died,Jennette McCurdy,4,4.45,Simon & Schuster,320,2022,2022,12/07/2023,17/01/2023,2023,7
The Intoxicating Mr Lavelle,Neil Blackmore,3,3.46,Hutchinson,320,2020,2020,06/07/2023,02/07/2023,2023,7
Carrie Soto Is Back,Taylor Jenkins Reid,5,4.21,Penguin,359,2022,2022,30/06/2023,27/09/2022,2023,6
Ordinary People,Diana Evans,4,3.31,VINTAGE ARROW - MASS MARKET,352,2019,2018,28/03/2023,21/03/2023,2023,3
Send Nudes,Saba Sams,4,3.53,Bloomsbury Publishing,224,2022,2022,20/03/2023,19/03/2023,2023,3
Cleopatra and Frankenstein,Coco Mellors,5,3.73,Bloomsbury Publishing,384,2022,2022,19/03/2023,22/08/2022,2023,3
Writers & Lovers,Lily King,3,4.01,Picador,245,2020,2020,26/08/2022,22/08/2022,2022,8
Happy Hour,Marlowe Granados,4,3.49,Verso Fiction,174,2021,2020,08/03/2023,17/01/2023,2023,3
What to Expect When You're Expecting,Heidi Murkoff,4,3.81,Simon & Schuster UK,612,2009,1969,05/02/2023,22/08/2022,2023,2
The Night Tiger,Yangsze Choo,5,3.86,Quercus,466,2019,2019,25/06/2022,23/05/2022,2022,6
"Chinese Mythology: Classic Stories of Chinese Myths, Gods, Goddesses, Heroes, and Monsters (Classical Mythology Book 6)",Scott Lewis,3,3.52,,117,2018,,03/12/2022,26/11/2022,2022,12
Shoko's Smile: Stories,Choi Eunyoung,2,3.93,Hodder & Stoughton,272,2021,2016,22/11/2022,01/03/2022,2022,11
The Bread the Devil Knead,Lisa Allen-Agostini,4,4.02,Myriad Editions,277,2021,2021,18/11/2022,22/10/2022,2022,11
The Perfect Nine: The Epic of Gikuyu and Mumbi,Ngũgĩ wa Thiong'o,4,3.69,Vintage Digital,188,2020,2018,24/10/2022,07/10/2022,2022,10
Milk Blood Heat,Dantiel W. Moniz,5,4.03,Grove Press,224,2022,2021,06/10/2022,05/10/2022,2022,10
Night Sky with Exit Wounds,Ocean Vuong,4,4.19,Copper Canyon Press,89,2016,2016,05/10/2022,17/06/2021,2022,10
My Year of Rest and Relaxation,Ottessa Moshfegh,4,3.63,Penguin Books,289,2019,2018,05/10/2022,14/05/2021,2022,10
"The Princess Trap (The Midnight Heat Collection, #1)",Talia Hibbert,3,3.7,Nixon House,301,2018,2018,28/09/2022,18/09/2022,2022,9
China Room,Sunjeev Sahota,4,3.78,Vintage,320,2022,2021,01/09/2022,04/08/2021,2022,9
Acts of Desperation,Megan Nolan,4,3.73,Vintage,281,2022,2021,23/08/2022,21/08/2022,2022,8
Moshi Moshi,Banana Yoshimoto,4,3.7,Feltrinelli,208,2012,2010,20/08/2022,09/07/2022,2022,8
After I Do,Taylor Jenkins Reid,4,3.94,Washington Square Press,354,2014,2014,17/08/2022,09/08/2022,2022,8
"A Sunrise Over Bali (Holiday Romance, #4)",Sandy  Barker,3,4.06,One More Chapter,344,2022,,06/08/2022,02/08/2022,2022,8
Maybe in Another Life,Taylor Jenkins Reid,5,3.79,Atria Books,342,2015,2015,25/07/2022,20/07/2022,2022,7
A Love Story for Bewildered Girls,Emma Morgan,2,3.21,Penguin,272,2020,2019,20/07/2022,25/03/2022,2022,7
Malibu Rising,Taylor Jenkins Reid,5,4.03,Ballantine Books,369,2021,2021,11/07/2022,30/04/2021,2022,7
Under the Udala Trees,Chinelo Okparanta,4,4.02,Houghton Mifflin Harcourt,328,2015,2015,09/07/2022,22/06/2022,2022,7
"Take a Hint, Dani Brown (The Brown Sisters, #2)",Talia Hibbert,4,4.01,Avon,400,2020,2020,08/07/2022,07/09/2021,2022,7
On Earth We’re Briefly Gorgeous,Ocean Vuong,5,4.03,Vintage,256,2020,2019,25/05/2021,25/02/2021,2021,5
